#z-coord	CCo.1	CCo.2	CCo.3	CCo_average	Cco_std	SEM
33.9	0.3786	0.32195306	0.489812965	0.396788675	0.0853953034443	0.049303001431096
34	0.3775	0.32356806	0.490265965	0.397111341666667	0.085061750653994	0.049110424637825
34.1	0.3714	0.31990506	0.490821965	0.394042341666667	0.087679266824075	0.050621648303229
34.2	0.3612	0.31699206	0.487026965	0.388406341666667	0.088221913376169	0.050934945436155
34.3	0.3579	0.30733106	0.487067965	0.384099675	0.092688488941853	0.053513724041358
34.4	0.3559	0.29282006	0.483340965	0.377353675	0.097055391085498	0.056034956169517
34.5	0.3536	0.29168806	0.482978965	0.376089008333333	0.097608243533998	0.056354145679481
34.6	0.3519	0.29011306	0.476247965	0.372753675	0.094803520691976	0.054734838191637
34.7	0.3439	0.28313706	0.468465965	0.365167675	0.094477173206304	0.054546421382935
34.8	0.3374	0.27747706	0.467650965	0.360842675	0.097230128016495	0.056135840583665
34.9	0.3441	0.27852206	0.465828965	0.362817008333333	0.095045851913076	0.054874748187372
35	0.339	0.27492606	0.461226465	0.358384175	0.094650778687309	0.054646652554126
35.1	0.3339	0.27133006	0.456623965	0.353951341666667	0.094260278137253	0.054421196956432
35.2	0.3167	0.27030606	0.441626965	0.342877675	0.088609627715102	0.051158792414107
35.3	0.3049	0.26910606	0.428283965	0.334096675	0.083508896132921	0.04821388366207
35.4	0.3027	0.25518306	0.423668965	0.327184008333333	0.086870449774174	0.050154677561743
35.5	0.2984	0.25160806	0.419723965	0.323244008333333	0.0867678393245	0.050095435391003
35.6	0.2942	0.25063006	0.413240965	0.319357008333333	0.08417382554834	0.048597780839055
35.7	0.289	0.24995406	0.411075965	0.316676675	0.084050971570821	0.048526851062063
35.8	0.2858	0.24316206	0.405659965	0.311540675	0.084251581851257	0.048642673461475
35.9	0.2845	0.23928306	0.399787965	0.307857008333333	0.082762422094676	0.047782906675147
36	0.2857	0.23135306	0.397951965	0.305001675	0.084960077566784	0.049051723653554
36.1	0.2804	0.22616206	0.394646965	0.300403008333333	0.086005122289328	0.04965508050543
36.2	0.2812	0.22286706	0.390797965	0.298288341666667	0.085259637456521	0.049224674636532
36.3	0.2827	0.21346806	0.383484965	0.293217675	0.085495047295144	0.049360588570231
36.4	0.2751	0.20156506	0.376680965	0.284448675	0.087931469561153	0.050767257621371
36.5	0.2718	0.19798906	0.369232965	0.279674008333333	0.085893065816382	0.04959038467061
36.6	0.2786	0.20296506	0.367671965	0.283079008333333	0.082444752867647	0.047599500261408
36.7	0.2803	0.20473906	0.364071965	0.283037008333333	0.079701706787856	0.046015801868841
36.8	0.2781	0.19347406	0.350747965	0.274107341666667	0.078712935969333	0.0454449347706
36.9	0.27	0.18657306	0.346338965	0.267637341666667	0.079909152892002	0.046135570932912
37	0.2692	0.17780206	0.336654965	0.261219008333333	0.079726617435599	0.046030184038021
37.1	0.2703	0.17876706	0.335563965	0.261543675	0.078764346471129	0.045474616637651
37.2	0.2736	0.17853306	0.337451965	0.263195008333333	0.079968759401952	0.046169984767478
37.3	0.2712	0.17662706	0.333822965	0.260550008333333	0.079137253421302	0.045689914565716
37.4	0.269	0.17779606	0.329269965	0.258688675	0.076261579720256	0.044029643580316
37.5	0.26635	0.17636256	0.324578465	0.255763675	0.074672895561217	0.043112416353438
37.6	0.2637	0.17492906	0.319886965	0.252838675	0.073086762420181	0.04219666195749
37.7	0.2606	0.16166106	0.310702965	0.244321341666667	0.075842721465921	0.043787815654424
37.8	0.2526	0.16159106	0.307508965	0.240566675	0.073699453409194	0.042550399264927
37.9	0.2474	0.16529906	0.302677965	0.238459008333333	0.069124502773889	0.039909050284104
38	0.249	0.16047506	0.292154965	0.233876675	0.067129990052837	0.038757517827702
38.1	0.2495	0.16394506	0.286725965	0.233390341666667	0.06295576603352	0.036347528466492
38.2	0.2476	0.16427706	0.284776965	0.232218008333333	0.061705032428298	0.035625417082833
38.3	0.2435	0.15622706	0.283860965	0.227862675	0.065238009444295	0.037665182314059
38.4	0.2442	0.15265706	0.282016965	0.226291341666667	0.066513429379918	0.038401546357221
38.5	0.24	0.15202406	0.270716965	0.220913675	0.061605334800153	0.035567856630386
38.6	0.2453	0.16246006	0.265099965	0.224286675	0.054450963217091	0.031437278271022
38.7	0.2492	0.16415006	0.261605965	0.224985341666667	0.053048804072216	0.030627741311281
38.8	0.2357	0.15908506	0.261683965	0.218823008333333	0.053340964207514	0.030796420044043
38.9	0.234	0.15318306	0.254780965	0.213988008333333	0.053673954884537	0.030988672301059
39	0.2362	0.14551006	0.252094965	0.211268341666667	0.057500227685656	0.033197771932779
39.1	0.2388	0.13883506	0.257361965	0.211665675	0.063752337189502	0.036807429037827
39.2	0.2325	0.13055406	0.249166965	0.204073675	0.064212905812531	0.037073338456313
39.3	0.224	0.12457906	0.239201965	0.195927008333333	0.062254897265174	0.035942881694421
39.4	0.2186	0.11908906	0.229566965	0.189085341666667	0.060866067440712	0.035141040421409
39.5	0.2187	0.12173806	0.225313965	0.188584008333333	0.057984668143332	0.033477463761424
39.6	0.2188	0.12383806	0.217528965	0.186722341666667	0.054463093403169	0.031444281637219
39.7	0.2121	0.12289706	0.211803965	0.182267008333333	0.051416096536078	0.029685097175785
39.8	0.2076	0.12759206	0.208808965	0.181333675	0.046545529175196	0.026873073798873
39.9	0.2109	0.13179806	0.208006965	0.183568341666667	0.044857707930325	0.025898609748803
40	0.212	0.12833806	0.203431465	0.181256508333333	0.046028540912322	0.026574590486135
40.1	0.2131	0.12487806	0.198855965	0.178944675	0.04736161184376	0.027344239347249
40.2	0.2035	0.11703406	0.184353965	0.168296008333333	0.045414570065699	0.026220114252563
40.3	0.2009	0.11343106	0.179260965	0.164530675	0.04555699670516	0.026302344311195
40.4	0.2049	0.10402706	0.180466965	0.163131341666667	0.052623477491775	0.03038217889557
40.5	0.1923	0.09901806	0.176158965	0.155825675	0.049854408974623	0.028783456441788
40.6	0.1819	0.09516276	0.173127965	0.150063575	0.04774737443314	0.027566959482071
40.7	0.1708	0.07811656	0.161604965	0.136840508333333	0.05106382034332	0.029481710421066
40.8	0.1569	0.06800156	0.151011965	0.125304508333333	0.049713058192087	0.028701847529441
40.9	0.1507	0.06528086	0.141905965	0.119295608333333	0.046984343573475	0.027126423409844
41	0.1386	0.05724726	0.135220965	0.110356075	0.046024603663812	0.026572317314648
41.1	0.1361	0.05040576	0.134424965	0.106976908333333	0.048999209721962	0.028289706923054
41.2	0.1286	0.04485836	0.127737965	0.100398775	0.048101341455977	0.02777132243799
41.3	0.1218	0.04248306	0.125674965	0.096652675	0.046952254795419	0.027107896945195
